medcodeid	term	arrhythmia	arrhythmia_cat	arrhythmia_type	cvd	angina	angina_cat	angina_type	cad	cad_cat	cad_type	mi	mi_cat	sca	sca_cat	revascularisation	revascularisation_cat	nonspecificcvd	nonspecificcvd_cat	hf_cat	hf	confidence	stroke	catstroke	vte	dvt	dvt_cat	dvt_type	pulmonaryembolism	pulmonaryembolism_cat	cardiomyopathy	cardiomyopathy_cat	cardiomyopathy_type	pericarditis	pericarditis_cat	vhd	vhd_cat	pvd	pvd_cat	cvdgrouped
2675253013	chronic atrial fibrillation	arrhythmia	Diagnosis	Atrial fibrillation & flutter	arrhythmia																																			1
2675255018	congestive heart failure due to valvular disease				hf															Heart failure	Heart failure																			1
2675306013	paroxysmal atrial flutter	arrhythmia	Diagnosis	Atrial fibrillation & flutter	arrhythmia																																			1
2676301014	ecg: sinus bradycardia	arrhythmia	Diagnosis	Bradycardia	arrhythmia																																			1
2676303012	ecg: sinus tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
2677871000006113	acute myopericarditis				pericarditis																													Pericarditis	Diagnosis					1
2692063011	history of atrial flutter	arrhythmia	History	History of arrhythmia	arrhythmia																																			1
2694523019	left ventricular cardiac dysfunction				hf															Heart failure	Heart failure																			1
2709711000006116	chd - congenital heart disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
271074014	aortocoronary artery bypass of two coronary arteries with saphenous vein graft				revascularisation											revascularisation	Diagnosis																							1
271075010	aortocoronary artery bypass of three coronary arteries with saphenous vein graft				revascularisation											revascularisation	Diagnosis																							1
271087015	allograft bypass of coronary artery				cad				CAD	Diagnosis	Revascularisation																													1
271097012	prosthetic bypass of coronary artery				revascularisation											revascularisation	Diagnosis																							1
271105012	revision of bypass for coronary artery				revascularisation											revascularisation	Diagnosis																							1
271106013	revision of bypass for one coronary artery				revascularisation											revascularisation	Diagnosis																							1
271107016	revision of bypass for two coronary arteries				revascularisation											revascularisation	Diagnosis																							1
271108014	revision of bypass for three coronary arteries				cad				CAD	Diagnosis	Revascularisation																													1
271109018	revision of bypass for four or more coronary arteries				revascularisation											revascularisation	Diagnosis																							1
271112015	other specified revision of bypass for coronary artery				revascularisation											revascularisation	Diagnosis																							1
271113013	revision of bypass for coronary artery nos				revascularisation											revascularisation	Diagnosis																							1
271115018	creation of bypass from mammary artery to coronary artery				revascularisation											revascularisation	Diagnosis																							1
271169016	coronary artery bypass graft				cad				CAD	Diagnosis	Revascularisation																													1
271170015	other specified other bypass of coronary artery				cad				CAD	Diagnosis	Revascularisation																													1
271171016	other bypass of coronary artery nos				cad				CAD	Diagnosis	Revascularisation																													1
271392011	trendelenburg pulmonary embolectomy				pulmonaryembolism																								1	Diagnosis										1
271431019	other bypass of bifurcation of aorta				pvd																																	PVD	Diagnosis	1
271444012	other specified other bypass of bifurcation of aorta				pvd																																	PVD	Diagnosis	1
271445013	other bypass of bifurcation of aorta nos				pvd																																	PVD	Diagnosis	1
271842015	other specified replacement of aneurysmal iliac artery				pvd																																	PVD	Diagnosis	1
271843013	replacement of aneurysmal iliac artery nos				pvd																																	PVD	Diagnosis	1
271865013	emergency bypass of iliac artery by unspecified anastomosis				pvd																																	PVD	Diagnosis	1
271867017	other specified other bypass of iliac artery				pvd																																	PVD	Diagnosis	1
271868010	other bypass of iliac artery nos				pvd																																	PVD	Diagnosis	1
271880019	other specified reconstruction of iliac artery				pvd																																	PVD	Diagnosis	1
271881015	reconstruction of iliac artery nos				pvd																																	PVD	Diagnosis	1
271891014	operation on aneurysm of iliac artery nec				pvd																																	PVD	Diagnosis	1
271895017	other specified other open operation on iliac artery				pvd																																	PVD	Diagnosis	1
271896016	other open operation on iliac artery nos				pvd																																	PVD	Diagnosis	1
271900018	percutaneous transluminal angioplasty of iliac artery				pvd																																	PVD	Diagnosis	1
271901019	percutaneous transluminal embolectomy of iliac artery				pvd																																	PVD	Diagnosis	1
271905011	insertion of iliac artery stent				pvd																																	PVD	Diagnosis	1
271907015	other specified transluminal operation on iliac artery				pvd																																	PVD	Diagnosis	1
271908013	transluminal operation on iliac artery nos				pvd																																	PVD	Diagnosis	1
272003016	other bypass of femoral artery or popliteal artery nos				pvd																																	PVD	Diagnosis	1
272014018	endarterectomy of popliteal artery				pvd																																	PVD	Diagnosis	1
272017013	profundoplasty of femoral artery nec				pvd																																	PVD	Diagnosis	1
272018015	profundoplasty of popliteal artery nec				pvd																																	PVD	Diagnosis	1
272019011	reconstruction of femoral artery with vein graft				pvd																																	PVD	Diagnosis	1
272020017	reconstruction of popliteal artery with vein graft				pvd																																	PVD	Diagnosis	1
272022013	reconstruction of femoral or popliteal artery nos				pvd																																	PVD	Diagnosis	1
272029016	repair of femoral artery nec				pvd																																	PVD	Diagnosis	1
272030014	repair of popliteal artery				pvd																																	PVD	Diagnosis	1
272031013	open embolectomy of femoral artery				pvd																																	PVD	Diagnosis	1
272032018	open thrombectomy of femoral artery				pvd																																	PVD	Diagnosis	1
272034017	open thrombectomy of popliteal artery				pvd																																	PVD	Diagnosis	1
272035016	open embolectomy popliteal artery				pvd																																	PVD	Diagnosis	1
272036015	ligation of aneurysm of popliteal artery				pvd																																	PVD	Diagnosis	1
272037012	operation on aneurysm of femoral artery nec				pvd																																	PVD	Diagnosis	1
272038019	operation on popliteal artery nec				pvd																																	PVD	Diagnosis	1
272041011	repair of femoral artery with temporary silastic shunt				pvd																																	PVD	Diagnosis	1
272042016	repair of popliteal artery with temporary silastic shunt				pvd																																	PVD	Diagnosis	1
272052017	percutaneous transluminal angioplasty of femoral artery				pvd																																	PVD	Diagnosis	1
272055015	percutaneous transluminal embolectomy of femoral artery				pvd																																	PVD	Diagnosis	1
272056019	percutaneous transluminal embolectomy of popliteal artery				pvd																																	PVD	Diagnosis	1
272059014	percutaneous transluminal embolisation of femoral artery				pvd																																	PVD	Diagnosis	1
272061017	percutaneous transluminal embolisation of popliteal artery				pvd																																	PVD	Diagnosis	1
272066010	arteriography of popliteal artery				pvd																																	PVD	Diagnosis	1
272071015	other specified operations on iliac and femoral artery				pvd																																	PVD	Diagnosis	1
272076013	revision of reconstruction involving iliac artery				pvd																																	PVD	Diagnosis	1
272077016	revision of reconstruction involving femoral artery				pvd																																	PVD	Diagnosis	1
272078014	revision of reconstruction of popliteal artery				pvd																																	PVD	Diagnosis	1
2729551000000111	cerebral infarction due to occlusion of cerebral artery				stroke																	Diagnosis	Stroke	Ischaemic																1
2729571000000119	cerebral infarction due to stenosis of cerebral artery				stroke																	Diagnosis	Stroke	Ischaemic																1
2729671000000118	acute transmural myocardial infarction				cad				CAD	Diagnosis	MI																													1
274941000006115	o/e - tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
2762941000006113	endarterectomy of femoral artery				pvd																																	PVD	Diagnosis	1
2771011000006114	aortocoronary artery bypass graft with vein graft				cad				CAD	Diagnosis	Revascularisation																													1
2775541000006116	atrial arrhythmia	arrhythmia	Diagnosis	arrhythmia NOS	arrhythmia																																			1
2784341000006116	deep vein thrombosis of portal vein				dvt																					DVT														1
2784351000006119	pvt - portal vein thrombosis				vte																				1															1
279423010	deep circumflex iliac artery flap				pvd																																	PVD	Diagnosis	1
2816931010	stress cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
2816932015	takotsubo cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
282276011	closed cardiac massage alone				sca									Sudden cardiac arrest	Diagnosis																									1
282280018	external cardiac massage nos				cad				CAD	Diagnosis	SCA																													1
2832651000006111	subcortical haemorrhage				stroke																	Diagnosis	Stroke	Haemorrhagic																1
2837981000006113	thrombosis of lateral venous sinus				vte																				1															1
2838001000006118	cerebral venous thrombosis of lateral sinus				stroke																	Diagnosis	Stroke	Ischaemic																1
2855301000006112	myocardial infarction				cad				CAD	Diagnosis	MI																													1
2855341000006114	mi - myocardial infarction				mi							Myocardial infarction	Myocardial infarction																											1
2855351000006111	myocardial infarct				cad				CAD	Diagnosis	MI																													1
286566010	gas gangrene-hand				pvd																																	PVD	Diagnosis	1
286569015	gas gangrene-leg				pvd																																	PVD	Diagnosis	1
286570019	gas gangrene-foot				pvd																																	PVD	Diagnosis	1
287354014	gonococcal heart disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
287616017	histoplasma capsulatum with pericarditis				pericarditis																													Pericarditis	Diagnosis					1
287627015	histoplasma duboisii with pericarditis				pericarditis																													Pericarditis	Diagnosis					1
287637013	histoplasmosis with pericarditis				pericarditis																													Pericarditis	Diagnosis					1
289521000006112	o/e - bradycardia	arrhythmia	Diagnosis	Bradycardia	arrhythmia																																			1
2901571000006113	completed stroke				stroke																	Diagnosis	Stroke	Not specified																1
2908961000006115	vt - ventricular tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
291991000006116	bradycardia	arrhythmia	Diagnosis	Bradycardia	arrhythmia																																			1
2932491000006111	chronic pericarditis with effusion				pericarditis																													Pericarditis	Diagnosis					1
294601000000110	atrial fibrillation resolved	arrhythmia	History	History of arrhythmia	arrhythmia																																			1
296931015	phlebitis and thrombophlebitis of intracranial sinuses				dvt																					DVT	Diagnosis	4. DVT cerebral venous sinuses												1
296940016	thrombosis of central nervous system venous sinus nos				vte																				1															1
296947018	thrombophlebitis of central nervous system venous sinuses				dvt																					DVT	Diagnosis	4. DVT cerebral venous sinuses												1
296948011	thrombophlebitis of cavernous sinus				vte																				1															1
296949015	thrombophlebitis of superior longitudinal venous sinus				dvt																					DVT	Diagnosis	4. DVT cerebral venous sinuses												1
296950015	thrombophlebitis lateral venous sinus				dvt																					DVT	Diagnosis	4. DVT cerebral venous sinuses												1
296951016	thrombophlebitis of central nervous system venous sinus nos				dvt																					DVT	Diagnosis	4. DVT cerebral venous sinuses												1
297013012	cerebral degeneration due to cerebrovascular disease				cad				CAD	Diagnosis	Not specific																													1
297501000006112	nonrheumatic tricuspid valve stenosis with insufficiency				vhd																															1	Diagnosis			1
2981071000006117	vagal bradycardia	arrhythmia	Diagnosis	Bradycardia	arrhythmia																																			1
2981781000006117	congenital mitral regurgitation				vhd																															1	Diagnosis			1
2981791000006119	mr - congenital mitral regurgitation				vhd																															1	Diagnosis			1
298761000000113	family history of deep vein thrombosis				vte																				1															1
298916015	retrobulbar haemorrhage				stroke																	Diagnosis	Stroke	Haemorrhagic																1
299570018	other acute rheumatic heart disease				cad				CAD	Diagnosis	Not specific																													1
299572014	other acute rheumatic heart disease nos				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
299573016	acute rheumatic heart disease				cad				CAD	Diagnosis	Not specific																													1
299583017	chronic rheumatic pericarditis nos				pericarditis																													Pericarditis	Diagnosis					1
299591014	mitral stenosis with insufficiency				vhd																															1	Diagnosis			1
299592019	mitral stenosis with regurgitation				vhd																															1	Diagnosis			1
299604017	mitral stenosis and aortic insufficiency				vhd																															1	Diagnosis			1
299605016	mitral stenosis and aortic regurgitation				vhd																															1	Diagnosis			1
299608019	mitral regurgitation and aortic stenosis				vhd																															1	Diagnosis			1
299609010	mitral insufficiency and aortic stenosis				vhd																															1	Diagnosis			1
299611018	mitral and aortic insufficiency				vhd																															1	Diagnosis			1
299612013	mitral and aortic regurgitation				vhd																															1	Diagnosis			1
299619016	rheumatic tricuspid stenosis and regurgitation				vhd																															1	Diagnosis			1
299620010	rheumatic tricuspid stenosis and insufficiency				vhd																															1	Diagnosis			1
299622019	tricuspid valve regurgitation				vhd																															1	Diagnosis			1
299623012	tricuspid stenosis and insufficiency, cause unspecified				vhd																															1	Diagnosis			1
299630018	other specified chronic rheumatic heart disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
299633016	other and unspecified rheumatic heart disease				cad				CAD	Diagnosis	Not specific																													1
299634010	rheumatic heart disease unspecified				cad				CAD	Diagnosis	Not specific																													1
299636012	other rheumatic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
299637015	chronic rheumatic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
299650019	malignant hypertensive heart disease nos				hf															Heart failure	Heart failure																			1
299654011	benign hypertensive heart disease nos				cad				CAD	Diagnosis	Not specific																													1
299655012	hypertensive heart disease nos				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
299707016	acute anterior myocardial infarction				cad				CAD	Diagnosis	MI																													1
299708014	acute anteroapical infarction				cad				CAD	Diagnosis	MI																													1
299709018	anterior myocardial infarction nos				cad				CAD	Diagnosis	MI																													1
299710011	acute posterior myocardial infarction				cad				CAD	Diagnosis	MI																													1
299711010	acute lateral myocardial infarction				mi							Myocardial infarction	Myocardial infarction																											1
299712015	true posterior myocardial infarction				cad				CAD	Diagnosis	MI																													1
299714019	acute myocardial infarction of inferior wall				mi							Myocardial infarction	Myocardial infarction																											1
299718016	other acute myocardial infarction				cad				CAD	Diagnosis	MI																													1
299719012	acute atrial infarction				mi							Myocardial infarction	Myocardial infarction																											1
299720018	other acute myocardial infarction nos				mi							Myocardial infarction	Myocardial infarction																											1
299721019	acute myocardial infarction nos				mi							Myocardial infarction	Myocardial infarction																											1
299723016	other acute and subacute ischaemic heart disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
299741012	preinfarction syndrome				angina	Angina	Diagnosis	Unstable angina																																1
299742017	coronary thrombosis not resulting in myocardial infarction				mi							Myocardial infarction	Myocardial infarction																											1
299745015	acute coronary insufficiency				cad				CAD	Diagnosis	Angina																													1
299750014	other acute and subacute ischaemic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
299757012	angina pectoris				cad				CAD	Diagnosis	Angina																													1
299758019	stenocardia				cad				CAD	Diagnosis	Angina																													1
299763015	angina decubitus nos				angina	Angina	Diagnosis	Stable angina																																1
299765010	angina pectoris nos				cad				CAD	Diagnosis	Angina																													1
299776014	chronic ischaemic heart disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
299782012	single coronary vessel disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
299783019	double coronary vessel disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
299796018	ischaemic cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Dilated cardiomyopathy							1
299800012	other specified chronic ischaemic heart disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
299804015	other specified chronic ischaemic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
299805019	other chronic ischaemic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
299808017	subsequent myocardial infarction				mi							Myocardial infarction	Myocardial infarction																											1
299811016	subsequent myocardial infarction of anterior wall				cad				CAD	Diagnosis	MI																													1
299812011	subsequent myocardial infarction of inferior wall				mi							Myocardial infarction	Myocardial infarction																											1
299813018	subsequent myocardial infarction of other sites				cad				CAD	Diagnosis	MI																													1
299834013	other specified ischaemic heart disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
299835014	ischaemic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
299848013	acute pulmonary heart disease nos				cad				CAD	Diagnosis	Not specific																													1
299851018	other chronic pulmonary heart disease				cad				CAD	Diagnosis	Not specific																													1
299853015	other chronic pulmonary heart disease nos				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
299863011	other specified pulmonary circulation disease				cad				CAD	Diagnosis	Not specific																													1
299867012	other specified pulmonary circulation disease nos				cad				CAD	Diagnosis	Not specific																													1
299868019	other pulmonary circulation disease nos				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
299870011	pulmonary circulation disease nos				cad				CAD	Diagnosis	Not specific																													1
299871010	other forms of heart disease				cad				CAD	Diagnosis	Not specific																													1
299875018	acute pericarditis in diseases ec				pericarditis																													Pericarditis	Diagnosis					1
299878016	acute pericarditis - coxsackie				pericarditis																													Pericarditis	Diagnosis					1
299881014	acute pericarditis - syphilitic				pericarditis																													Pericarditis	Diagnosis					1
299882019	acute pericarditis - tuberculous				pericarditis																													Pericarditis	Diagnosis					1
299883012	tb - acute pericarditis				pericarditis																													Pericarditis	Diagnosis					1
299885017	acute pericarditis - uraemic				pericarditis																													Pericarditis	Diagnosis					1
299888015	acute pericarditis associated with another disorder				pericarditis																													Pericarditis	Diagnosis					1
299890019	other and unspecified acute pericarditis				pericarditis																													Pericarditis	Diagnosis					1
299891015	acute pericarditis - unspecified				pericarditis																													Pericarditis	Diagnosis					1
299901010	acute pericarditis nos				pericarditis																													Pericarditis	Diagnosis					1
299955014	adhesive pericarditis nos				pericarditis																													Pericarditis	Diagnosis					1
299958011	constrictive pericarditis nos				pericarditis																													Pericarditis	Diagnosis					1
299986015	aortic regurgitation, non-rheumatic				vhd																															1	Diagnosis			1
299987012	aortic insufficiency, non-rheumatic				vhd																															1	Diagnosis			1
299989010	aortic valve regurgitation				vhd																															1	Diagnosis			1
299991019	aortic valve stenosis with insufficiency				vhd																															1	Diagnosis			1
299995011	tricuspid insufficiency, non-rheumatic				vhd																															1	Diagnosis			1
299996012	tricuspid regurgitation, non-rheumatic				vhd																															1	Diagnosis			1
300002010	pulmonary regurgitation, non-rheumatic				vhd																															1	Diagnosis			1
300003017	pulmonary insufficiency, non-rheumatic				vhd																															1	Diagnosis			1
300011010	pulmonary valve stenosis with insufficiency				vhd																															1	Diagnosis			1
300032019	other primary cardiomyopathies				cardiomyopathy																										Cardiomyopathy	Diagnosis	Dilated cardiomyopathy							1
300038015	hypertrophic non-obstructive cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Hypertrophic cardiomyopathy							1
300040013	primary dilated cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Dilated cardiomyopathy							1
300041012	other primary cardiomyopathy nos				cardiomyopathy																										Cardiomyopathy	Diagnosis	Dilated cardiomyopathy							1
300042017	nutritional and metabolic cardiomyopathies				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
300046019	mucopolysaccharidosis cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
300052018	cardiomyopathy in disease ec				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
300055016	dystrophic cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
300057012	cardiomyopathy associated with another disorder				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
300062013	cardiomyopathy nos				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
300106011	paroxysmal atrial tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
300110014	paroxysmal atrioventricular tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
30011012	rheumatic aortic stenosis with insufficiency				vhd																															1	Diagnosis			1
300111013	paroxysmal junctional tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
300114017	paroxysmal nodal tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
300119010	paroxysmal supraventricular tachycardia nos	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
300126010	paroxysmal tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
300129015	paroxysmal tachycardia nos	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
300130013	atrial fibrillation and flutter	arrhythmia	Diagnosis	Atrial fibrillation & flutter	arrhythmia																																			1
300132017	atrial fibrillation and flutter nos	arrhythmia	Diagnosis	Atrial fibrillation & flutter	arrhythmia																																			1
300167017	supraventricular tachycardia	arrhythmia	Diagnosis	Tachycardia	arrhythmia																																			1
300168010	re-entry ventricular arrhythmia	arrhythmia	Diagnosis	arrhythmia NOS	arrhythmia																																			1
300169019	other cardiac dysrhythmia nos	arrhythmia	Diagnosis	arrhythmia NOS	arrhythmia																																			1
300170018	cardiac dysrhythmia nos	arrhythmia	Diagnosis	arrhythmia NOS	arrhythmia																																			1
300179017	decompensated cardiac failure				hf															Heart failure	Heart failure																			1
300180019	compensated cardiac failure				hf															Heart failure	Heart failure																			1
300190010	acute left ventricular failure				hf															Heart failure	Heart failure																			1
300197013	other specified heart disease				cad				CAD	Diagnosis	Not specific																													1
300217019	post cardiac operation heart failure nos				hf															Heart failure	Heart failure																			1
300237015	other ill-defined heart disease nos				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300238013	other heart disease nos				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300239017	heart disease nos				cad				CAD	Diagnosis	Not specific																													1
300277011	intracerebral haemorrhage, intraventricular				stroke																	Diagnosis	Stroke	Haemorrhagic																1
300287010	intracerebral haemorrhage nos				stroke																	Diagnosis	Stroke	Haemorrhagic																1
300303013	basilar artery occlusion				stroke																	Diagnosis	Stroke	Ischaemic																1
300310019	multiple and bilateral precerebral arterial occlusion				stroke																	Diagnosis	Stroke	Ischaemic																1
300312010	cerebral infarct due to thrombosis of precerebral arteries				stroke																	Diagnosis	Stroke	Ischaemic																1
300313017	cerebral infarction due to embolism of precerebral arteries				stroke																	Diagnosis	Stroke	Ischaemic																1
300321011	cerebral infarction due to thrombosis of cerebral arteries				stroke																	Diagnosis	Stroke	Ischaemic																1
300322016	cerebral infarction due to embolism of cerebral arteries				stroke																	Diagnosis	Stroke	Ischaemic																1
300345010	multiple and bilateral precerebral artery syndromes				stroke																	Diagnosis	Stroke	Not specified																1
300353019	intermittent cerebral ischaemia				stroke																	Possible	Stroke	Ischaemic																1
300362017	middle cerebral artery syndrome				stroke																	Diagnosis	Stroke	Not specified																1
300363010	anterior cerebral artery syndrome				stroke																	Diagnosis	Stroke	Not specified																1
300364016	posterior cerebral artery syndrome				stroke																	Diagnosis	Stroke	Not specified																1
300366019	cerebellar stroke syndrome				stroke																	Diagnosis	Stroke	Not specified																1
300370010	left sided cva				stroke																	Diagnosis	Stroke	Not specified																1
300371014	right sided cva				stroke																	Diagnosis	Stroke	Not specified																1
300374018	other cerebrovascular disease				cad				CAD	Diagnosis	Not specific																													1
300379011	generalised ischaemic cerebrovascular disease nos				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300401011	other cerebrovascular disease os				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300402016	other cerebrovascular disease nos				cad				CAD	Diagnosis	Not specific																													1
300403014	late effects of cerebrovascular disease				cad				CAD	Diagnosis	Not specific																													1
300407010	sequelae of intracerebral haemorrhage				stroke																	History	Stroke	History of																1
300411016	sequelae of cerebral infarction				stroke																	History	Stroke	History of																1
300418010	other specified cerebrovascular disease				cad				CAD	Diagnosis	Not specific																													1
300419019	cerebrovascular disease nos				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300433019	extremity artery atheroma				pvd																																	PVD	Diagnosis	1
300434013	extremity artery atheroma nos				pvd																																	PVD	Diagnosis	1
300460014	aneurysm of common iliac artery				pvd																																	PVD	Diagnosis	1
300463011	aneurysm of external iliac artery				pvd																																	PVD	Diagnosis	1
300464017	aneurysm of internal iliac artery				pvd																																	PVD	Diagnosis	1
300466015	aneurysm of iliac artery nos				pvd																																	PVD	Diagnosis	1
300503012	thromboangiitis obliterans nos				pvd																																	PVD	Diagnosis	1
300504018	peripheral gangrene				pvd																																	PVD	Diagnosis	1
300505017	gangrene of toe				pvd																																	PVD	Diagnosis	1
300506016	gangrene of foot				pvd																																	PVD	Diagnosis	1
300509011	gangrene of hand				pvd																																	PVD	Diagnosis	1
300510018	other specified peripheral vascular disease				pvd																																	PVD	Diagnosis	1
300511019	peripheral angiopathic disease ec nos				pvd																																	PVD	Diagnosis	1
300514010	other specified peripheral vascular disease nos				pvd																																	PVD	Diagnosis	1
300515011	peripheral vascular disease nos				pvd																																	PVD	Diagnosis	1
300539018	embolism and thrombosis of the femoral artery				pvd																																	PVD	Diagnosis	1
300540016	embolism and thrombosis of the popliteal artery				pvd																																	PVD	Diagnosis	1
300550015	peripheral arterial embolism and thrombosis nos				pvd																																	PVD	Diagnosis	1
300553018	embolism and/or thrombosis of the common iliac artery				pvd																																	PVD	Diagnosis	1
300554012	embolism and/or thrombosis of the internal iliac artery				pvd																																	PVD	Diagnosis	1
300555013	embolism and/or thrombosis of the external iliac artery				pvd																																	PVD	Diagnosis	1
300556014	embolism and thrombosis of the iliac artery unspecified				pvd																																	PVD	Diagnosis	1
300607015	arterial insufficiency				pvd																																	PVD	Diagnosis	1
300648017	vein, lymphatic and circulatory diseases nos				cad				CAD	Diagnosis	Not specific																													1
300659014	thrombophlebitis of a superficial leg vein nos				dvt																					DVT		3. DVT legs												1
300672010	thrombophlebitis of the femoral vein				vte																				1															1
300673017	thrombophlebitis of the popliteal vein				vte																				1															1
300674011	thrombophlebitis of the anterior tibial vein				dvt																					DVT	Diagnosis	3. DVT legs												1
300675012	thrombophlebitis of the dorsalis pedis vein				dvt																					DVT	Diagnosis	2.DVT other/NOS												1
300676013	thrombophlebitis of the posterior tibial vein				vte																				1															1
300677016	thrombophlebitis of deep veins of lower extremity				dvt																					DVT														1
300681016	deep vein phlebitis and thrombophlebitis of the leg nos				vte																				1															1
300691010	thrombophlebitis of the common iliac vein				vte																				1															1
300692015	thrombophlebitis of the internal iliac vein				vte																				1															1
300695018	thrombophlebitis of the external iliac vein				vte																				1															1
300696017	thrombophlebitis of iliac vein				vte																				1															1
300697014	phlebitis and thrombophlebitis of the iliac vein nos				dvt																					DVT	Diagnosis	2.DVT other/NOS												1
300710016	embolism and thrombosis of the vena cava				dvt																					DVT	Diagnosis	2.DVT other/NOS												1
300839012	other specified vein, lymphatic or other circulatory disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300856016	vein, lymphatic and other circulatory diseases nos				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300861019	[x]other acute rheumatic heart disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300867015	[x]other specified rheumatic heart diseases				cad				CAD	Diagnosis	Not specific																													1
300874013	[x]other forms of angina pectoris				angina	Angina	Diagnosis	Stable angina																																1
300876010	[x]other forms of acute ischaemic heart disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300879015	[x]other forms of chronic ischaemic heart disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300881018	[x]subsequent myocardial infarction of other sites				mi							Myocardial infarction	Myocardial infarction																											1
300882013	[x]subsequent myocardial infarction of unspecified site				cad				CAD	Diagnosis	MI																													1
300884014	[x]other specified pulmonary heart diseases				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300886011	heart disease				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300887019	[x]other forms of acute pericarditis				pericarditis																													Pericarditis	Diagnosis					1
300889016	[x]pericarditis in bacterial diseases classified elsewhere				pericarditis																													Pericarditis	Diagnosis					1
300891012	pericarditis				pericarditis																													Pericarditis	Diagnosis					1
300910013	hypertrophic cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Hypertrophic cardiomyopathy							1
300911012	primary restrictive cardiomyopathy				cardiomyopathy																										Cardiomyopathy	Diagnosis	Restrictive cardiomyopathy							1
300912017	[x]other cardiomyopathies				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
300916019	[x]cardiomyopathy in other diseases classified elsewhere				cardiomyopathy																										Cardiomyopathy	Diagnosis	Cardiomyopathy NOS							1
300924012	[x]other specified cardiac arrhythmias	arrhythmia	Diagnosis	arrhythmia NOS	arrhythmia																																			1
300925013	[x]other ill-defined heart diseases				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
300932016	[x]cardiovascular disease, unspecified				nonspecificcvd													Nonspecific CVD	1.CVD - non-specific																					1
