prodcode	bnftext	ingredient	productname	class	extra	depression_drugs
71852	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (accord healthcare ltd)	SSRI		1
33071	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	felicium 20mg capsules (opus pharmaceuticals ltd)	SSRI		1
60619	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg/5ml oral solution (kent pharma (uk) ltd)	SSRI		1
60138	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg orodispersible tablets sugar free	SSRI		1
60534	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg dispersible tablets sugar free	SSRI		1
33410	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (zentiva pharma uk ltd)	SSRI		1
34456	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (teva uk ltd)	SSRI		1
69542	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozac 20mg capsules (necessity supplies ltd)	SSRI		1
33779	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozit 20mg/5ml oral solution (pinewood healthcare)	SSRI		1
45247	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (fannin (uk) ltd)	SSRI		1
68266	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg/5ml oral solution sugar free (accord healthcare ltd)	SSRI		1
34216	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg/5ml oral solution (a a h pharmaceuticals ltd)	SSRI		1
34294	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (ivax pharmaceuticals uk ltd)	SSRI		1
67758	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozac 20mg capsules (de pharmaceuticals)	SSRI		1
4907	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozac 60mg capsules (eli lilly and company ltd)	SSRI		1
29786	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	ranflutin 20mg capsules (ranbaxy (uk) ltd)	SSRI		1
60962	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (alliance healthcare (distribution) ltd)	SSRI		1
66744	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (morningside healthcare ltd)	SSRI		1
57532	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	prozac 20mg capsules (waymade healthcare plc)	SSRI		1
14740	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	oxactin 20mg capsules (discovery pharmaceuticals)	SSRI		1
34288	selective serotonin re-uptake inhibitors (ssri)	fluoxetine hydrochloride	fluoxetine 20mg capsules (viatris uk healthcare ltd)	SSRI		1
2897	selective serotonin re-uptake inhibitors (ssri)	fluvoxamine maleate	faverin 50mg tablets (viatris uk healthcare ltd)	SSRI		1
2290	selective serotonin re-uptake inhibitors (ssri)	fluvoxamine maleate	fluvoxamine 100mg tablets	SSRI		1
12123	selective serotonin re-uptake inhibitors (ssri)	fluvoxamine maleate	faverin 100mg tablets (viatris uk healthcare ltd)	SSRI		1
44861	selective serotonin re-uptake inhibitors (ssri)	fluvoxamine maleate	fluvoxamine 100mg tablets (actavis uk ltd)	SSRI		1
2880	selective serotonin re-uptake inhibitors (ssri)	fluvoxamine maleate	fluvoxamine 50mg tablets	SSRI		1
43518	selective serotonin re-uptake inhibitors (ssri)	fluvoxamine maleate	fluvoxamine 100mg tablets (ivax pharmaceuticals uk ltd)	SSRI		1
48045	selective serotonin re-uptake inhibitors (ssri)	fluvoxamine maleate	fluvoxamine 100mg tablets (a a h pharmaceuticals ltd)	SSRI		1
841	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 20mg tablets (glaxosmithkline uk ltd)	SSRI		1
34587	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 30mg tablets (a a h pharmaceuticals ltd)	SSRI		1
32899	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 20mg tablets (accord healthcare ltd)	SSRI		1
50	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 20mg tablets	SSRI		1
35021	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 10mg tablets	SSRI		1
527	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 10mg/5ml oral suspension sugar free	SSRI		1
59288	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 10mg tablets (accord healthcare ltd)	SSRI		1
1575	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 30mg tablets (glaxosmithkline uk ltd)	SSRI		1
67259	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 10mg/5ml oral solution	SSRI		1
34351	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 20mg tablets (ivax pharmaceuticals uk ltd)	SSRI		1
40165	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 30mg tablets (accord healthcare ltd)	SSRI		1
55023	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 20mg tablets (medreich plc)	SSRI		1
68325	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 40mg tablets	SSRI		1
33978	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 20mg tablets (viatris uk healthcare ltd)	SSRI		1
55537	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 30mg tablets (lexon (uk) ltd)	SSRI		1
64785	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 30mg tablets (alliance healthcare (distribution) ltd)	SSRI		1
40892	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 20mg tablets (genus pharmaceuticals ltd)	SSRI		1
66292	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 10mg tablets (waymade healthcare plc)	SSRI		1
35112	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 10mg tablets (glaxosmithkline uk ltd)	SSRI		1
1397	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 30mg tablets	SSRI		1
3601	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	seroxat 20mg/10ml liquid (glaxosmithkline uk ltd)	SSRI		1
34419	selective serotonin re-uptake inhibitors (ssri)	paroxetine hydrochloride	paroxetine 20mg tablets (a a h pharmaceuticals ltd)	SSRI		1
65771	selective serotonin re-uptake inhibitors (ssri)	sertraline	sertraline 200mg/5ml oral suspension (special order)	SSRI		1
4352	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	lustral 100mg tablets (viatris uk healthcare ltd)	SSRI		1
58723	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (accord healthcare ltd)	SSRI		1
45915	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (almus pharmaceuticals ltd)	SSRI		1
59600	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (almus pharmaceuticals ltd)	SSRI		1
62693	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (bristol laboratories ltd)	SSRI		1
1612	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	lustral 50mg tablets (viatris uk healthcare ltd)	SSRI		1
488	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets	SSRI		1
69725	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (crescent pharma ltd)	SSRI		1
54081	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 25mg/5ml oral suspension	SSRI		1
55488	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (teva uk ltd)	SSRI		1
44944	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (teva uk ltd)	SSRI		1
62692	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (bristol laboratories ltd)	SSRI		1
32401	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (a a h pharmaceuticals ltd)	SSRI		1
66560	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (viatris uk healthcare ltd)	SSRI		1
54826	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 150mg/5ml oral suspension	SSRI		1
62819	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 12.5mg/5ml oral suspension	SSRI		1
66413	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (ranbaxy (uk) ltd)	SSRI		1
69898	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (sandoz ltd)	SSRI		1
62927	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (wockhardt uk ltd)	SSRI		1
62950	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (accord healthcare ltd)	SSRI		1
42387	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (actavis uk ltd)	SSRI		1
55146	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (a a h pharmaceuticals ltd)	SSRI		1
68756	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (sandoz ltd)	SSRI		1
61503	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (actavis uk ltd)	SSRI		1
67730	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (ranbaxy (uk) ltd)	SSRI		1
69726	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (crescent pharma ltd)	SSRI		1
49519	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg/5ml oral suspension	SSRI		1
54933	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (pliva pharma ltd)	SSRI		1
58664	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (viatris uk healthcare ltd)	SSRI		1
7328	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg/5ml oral suspension	SSRI		1
727	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets	SSRI		1
63481	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 50mg tablets (milpharm ltd)	SSRI		1
67928	selective serotonin re-uptake inhibitors (ssri)	sertraline hydrochloride	sertraline 100mg tablets (milpharm ltd)	SSRI		1
82903	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duciltia 30mg gastro-resistant capsules (aristo pharma ltd)	SNRI	1	1
79275	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (aspire pharma ltd)	SNRI	1	1
73298	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	depalta 30mg gastro-resistant capsules (disposable medical equipment ltd)	SNRI	1	1
85745	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	cymbalta 30mg gastro-resistant capsules (necessity supplies ltd)	SNRI	1	1
80840	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (consilient health ltd)	SNRI	1	1
79628	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (dr reddy's laboratories (uk) ltd)	SNRI	1	1
82572	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	cymbalta 30mg gastro-resistant capsules (waymade healthcare plc)	SNRI	1	1
74190	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duciltia 60mg gastro-resistant capsules (aristo pharma ltd)	SNRI	1	1
76857	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg/5ml oral suspension	SNRI	1	1
82035	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (wockhardt uk ltd)	SNRI	1	1
78777	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (waymade healthcare plc)	SNRI	1	1
82340	urinary incontinence	duloxetine hydrochloride	duloxetine 20mg gastro-resistant capsules (waymade healthcare plc)	SNRI	1	1
83880	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (hbs healthcare ltd)	SNRI	1	1
73868	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (aspire pharma ltd)	SNRI	1	1
82860	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	cymbalta 60mg gastro-resistant capsules (necessity supplies ltd)	SNRI	1	1
81423	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (zentiva pharma uk ltd)	SNRI	1	1
74907	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (creo pharma ltd)	SNRI	1	1
74774	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg/5ml oral suspension	SNRI	1	1
84231	urinary incontinence	duloxetine hydrochloride	duloxetine 40mg gastro-resistant capsules (a a h pharmaceuticals ltd)	SNRI	1	1
84007	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (tillomed laboratories ltd)	SNRI	1	1
85830	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (milpharm ltd)	SNRI	1	1
73540	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	depalta 60mg gastro-resistant capsules (disposable medical equipment ltd)	SNRI	1	1
85073	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (accord healthcare ltd)	SNRI	1	1
79768	urinary incontinence	duloxetine hydrochloride	duloxetine 40mg gastro-resistant capsules (accord healthcare ltd)	SNRI	1	1
84981	other antidepressants	duloxetine hydrochloride	duloxetine 120mg gastro-resistant capsules	SNRI	1	1
84977	other antidepressants	duloxetine hydrochloride	duloxetine 90mg gastro-resistant capsules	SNRI	1	1
82430	urinary incontinence	duloxetine hydrochloride	duloxetine 40mg gastro-resistant capsules (waymade healthcare plc)	SNRI	1	1
80331	other antidepressants	venlafaxine hydrochloride	venlafaxine 300mg modified-release tablets	SNRI	1	1
86424	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg modified-release capsules (morningside healthcare ltd)	SNRI	1	1
84573	other antidepressants	venlafaxine hydrochloride	venlafaxine 37.5mg tablets (waymade healthcare plc)	SNRI	1	1
75263	other antidepressants	venlafaxine hydrochloride	venzip xl 75mg capsules (milpharm ltd)	SNRI	1	1
86256	other antidepressants	venlafaxine hydrochloride	efexor 75mg tablets (lexon (uk) ltd)	SNRI	1	1
75894	other antidepressants	venlafaxine hydrochloride	efexor xl 75mg capsules (lexon (uk) ltd)	SNRI	1	1
73667	other antidepressants	venlafaxine hydrochloride	venlafaxine 37.5mg tablets (actavis uk ltd)	SNRI	1	1
79124	other antidepressants	venlafaxine hydrochloride	winfex xl 75mg capsules (zentiva pharma uk ltd)	SNRI	1	1
75848	other antidepressants	venlafaxine hydrochloride	winfex xl 150mg capsules (zentiva pharma uk ltd)	SNRI	1	1
76727	other antidepressants	venlafaxine hydrochloride	venzip xl 150mg capsules (milpharm ltd)	SNRI	1	1
74011	other antidepressants	venlafaxine hydrochloride	efexor xl 75mg capsules (dowelhurst ltd)	SNRI	1	1
85195	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg tablets (zentiva pharma uk ltd)	SNRI	1	1
85975	other antidepressants	venlafaxine hydrochloride	venlafaxine 150mg modified-release tablets (dexcel-pharma ltd)	SNRI	1	1
81158	other antidepressants	venlafaxine hydrochloride	foraven xl 150mg capsules (forum products ltd)	SNRI	1	1
80721	other antidepressants	venlafaxine hydrochloride	majoven xl 37.5mg capsules (bristol laboratories ltd)	SNRI	1	1
76771	other antidepressants	venlafaxine hydrochloride	efexor xl 75mg capsules (waymade healthcare plc)	SNRI	1	1
78585	other antidepressants	venlafaxine hydrochloride	viepax xl 225mg tablets (dexcel-pharma ltd)	SNRI	1	1
83355	other antidepressants	venlafaxine hydrochloride	majoven xl 75mg capsules (bristol laboratories ltd)	SNRI	1	1
81253	other antidepressants	venlafaxine hydrochloride	efexor xl 150mg capsules (lexon (uk) ltd)	SNRI	1	1
85602	other antidepressants	venlafaxine hydrochloride	venlafaxine 37.5mg/5ml oral solution sugar free	SNRI	1	1
80541	other antidepressants	venlafaxine hydrochloride	venlalic xl 300mg tablets (ethypharm uk ltd)	SNRI	1	1
83069	other antidepressants	venlafaxine hydrochloride	venlafaxine 37.5mg tablets (dexcel-pharma ltd)	SNRI	1	1
74516	other antidepressants	venlafaxine hydrochloride	venladex xl 225mg tablets (dexcel-pharma ltd)	SNRI	1	1
84186	other antidepressants	venlafaxine hydrochloride	efexor 37.5mg tablets (de pharmaceuticals)	SNRI	1	1
86410	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg tablets (almus pharmaceuticals ltd)	SNRI	1	1
85606	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg/5ml oral solution sugar free	SNRI	1	1
73658	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg tablets (actavis uk ltd)	SNRI	1	1
74010	other antidepressants	venlafaxine hydrochloride	efexor xl 150mg capsules (necessity supplies ltd)	SNRI	1	1
77089	other antidepressants	venlafaxine hydrochloride	efexor 75mg tablets (waymade healthcare plc)	SNRI	1	1
75525	other antidepressants	venlafaxine hydrochloride	venlafaxine 37.5mg tablets (almus pharmaceuticals ltd)	SNRI	1	1
86526	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg tablets (bristol laboratories ltd)	SNRI	1	1
69752	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (creo pharma ltd)	SNRI		1
68096	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (zentiva pharma uk ltd)	SNRI		1
65618	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (a a h pharmaceuticals ltd)	SNRI		1
7122	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules	SNRI		1
67564	urinary incontinence	duloxetine hydrochloride	duloxetine 20mg gastro-resistant capsules (accord healthcare ltd)	SNRI		1
13151	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	cymbalta 30mg gastro-resistant capsules (eli lilly and company ltd)	SNRI		1
69428	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (alliance healthcare (distribution) ltd)	SNRI		1
63763	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (a a h pharmaceuticals ltd)	SNRI		1
51383	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (sigma pharmaceuticals plc)	SNRI		1
70063	urinary incontinence	duloxetine hydrochloride	duloxetine 20mg gastro-resistant capsules (a a h pharmaceuticals ltd)	SNRI		1
7147	urinary incontinence	duloxetine hydrochloride	duloxetine 40mg gastro-resistant capsules	SNRI		1
14849	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	cymbalta 60mg gastro-resistant capsules (eli lilly and company ltd)	SNRI		1
70405	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (teva uk ltd)	SNRI		1
66412	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (de pharmaceuticals)	SNRI		1
65892	other antidepressants/treatment of diabetic nephropathy and neuropathy/urinary incontinence	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (mawdsley-brooks & company ltd)	SNRI		1
72211	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (dr reddy's laboratories (uk) ltd)	SNRI		1
70728	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (alliance healthcare (distribution) ltd)	SNRI		1
69965	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (consilient health ltd)	SNRI		1
66405	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (de pharmaceuticals)	SNRI		1
65165	urinary incontinence	duloxetine hydrochloride	duloxetine 20mg gastro-resistant capsules (de pharmaceuticals)	SNRI		1
7153	urinary incontinence	duloxetine hydrochloride	duloxetine 20mg gastro-resistant capsules	SNRI		1
65809	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (actavis uk ltd)	SNRI		1
14803	urinary incontinence	duloxetine hydrochloride	yentreve 40mg gastro-resistant capsules (eli lilly and company ltd)	SNRI		1
16969	urinary incontinence	duloxetine hydrochloride	yentreve 20mg gastro-resistant capsules (eli lilly and company ltd)	SNRI		1
6895	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules	SNRI		1
71669	urinary incontinence	duloxetine hydrochloride	duloxetine 20mg gastro-resistant capsules (zentiva pharma uk ltd)	SNRI		1
62688	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (sigma pharmaceuticals plc)	SNRI		1
65888	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (actavis uk ltd)	SNRI		1
63216	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	cymbalta 60mg gastro-resistant capsules (mawdsley-brooks & company ltd)	SNRI		1
64442	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 60mg gastro-resistant capsules (teva uk ltd)	SNRI		1
63370	other antidepressants/treatment of diabetic nephropathy and neuropathy	duloxetine hydrochloride	duloxetine 30mg gastro-resistant capsules (mawdsley-brooks & company ltd)	SNRI		1
15163	other antidepressants	reboxetine mesilate	edronax 4mg tablets (pfizer ltd)	SNRI		1
2356	other antidepressants	reboxetine mesilate	reboxetine 4mg tablets	SNRI		1
45818	other antidepressants	venlafaxine hydrochloride	venlalic xl 37.5mg tablets (ethypharm uk ltd)	SNRI		1
45806	other antidepressants	venlafaxine hydrochloride	venlafaxine 37.5mg modified-release tablets	SNRI		1
63268	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg/5ml oral suspension	SNRI		1
40517	other antidepressants	venlafaxine hydrochloride	vexarin xl 150mg capsules (viatris uk healthcare ltd)	SNRI		1
40059	other antidepressants	venlafaxine hydrochloride	venlalic xl 75mg tablets (ethypharm uk ltd)	SNRI		1
70420	other antidepressants	venlafaxine hydrochloride	vencarm xl 150mg capsules (aspire pharma ltd)	SNRI		1
70315	other antidepressants	venlafaxine hydrochloride	vencarm xl 75mg capsules (aspire pharma ltd)	SNRI		1
60549	other antidepressants	venlafaxine hydrochloride	venlafaxine 150mg modified-release capsules (kent pharma (uk) ltd)	SNRI		1
2654	other antidepressants	venlafaxine hydrochloride	venlafaxine 150mg modified-release capsules	SNRI		1
55424	other antidepressants	venlafaxine hydrochloride	venlafaxine	SNRI		1
70495	other antidepressants	venlafaxine hydrochloride	vencarm xl 225mg capsules (aspire pharma ltd)	SNRI		1
63859	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg tablets (waymade healthcare plc)	SNRI		1
71257	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg modified-release capsules (de pharmaceuticals)	SNRI		1
470	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg modified-release capsules	SNRI		1
48199	other antidepressants	venlafaxine hydrochloride	ranfaxine xl 75mg capsules (ranbaxy (uk) ltd)	SNRI		1
66437	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg tablets (de pharmaceuticals)	SNRI		1
41314	other antidepressants	venlafaxine hydrochloride	rodomel xl 150mg capsules (teva uk ltd)	SNRI		1
70931	other antidepressants	venlafaxine hydrochloride	venlasov xl 75mg capsules (sovereign medical ltd)	SNRI		1
51361	other antidepressants	venlafaxine hydrochloride	venlafaxine 37.5mg tablets (ranbaxy (uk) ltd)	SNRI		1
41033	other antidepressants	venlafaxine hydrochloride	rodomel xl 75mg capsules (teva uk ltd)	SNRI		1
65666	other antidepressants	venlafaxine hydrochloride	venlafaxine 225mg modified-release capsules	SNRI		1
13237	other antidepressants	venlafaxine hydrochloride	venlafaxine 37.5mg/5ml oral suspension	SNRI		1
45959	other antidepressants	venlafaxine hydrochloride	depefex xl 75mg capsules (chiesi ltd)	SNRI		1
40062	other antidepressants	venlafaxine hydrochloride	venlalic xl 150mg tablets (ethypharm uk ltd)	SNRI		1
58726	other antidepressants	venlafaxine hydrochloride	venladex xl 150mg tablets (dexcel-pharma ltd)	SNRI		1
43968	other antidepressants	venlafaxine hydrochloride	foraven xl 75mg capsules (forum products ltd)	SNRI		1
52516	other antidepressants	venlafaxine hydrochloride	alventa xl 150mg capsules (consilient health ltd)	SNRI		1
39360	other antidepressants	venlafaxine hydrochloride	venlafaxine 150mg modified-release tablets	SNRI		1
59563	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg modified-release capsules (kent pharma (uk) ltd)	SNRI		1
39359	other antidepressants	venlafaxine hydrochloride	venlafaxine 75mg modified-release tablets	SNRI		1
58837	other antidepressants	venlafaxine hydrochloride	venlafaxine 37.5mg modified-release capsules	SNRI		1
52074	other antidepressants	venlafaxine hydrochloride	alventa xl 75mg capsules (consilient health ltd)	SNRI		1
67563	other antidepressants	venlafaxine hydrochloride	vensir xl 225mg capsules (morningside healthcare ltd)	SNRI		1
39809	other antidepressants	venlafaxine hydrochloride	tifaxin xl 150mg capsules (genus pharmaceuticals ltd)	SNRI		1
61236	other antidepressants	venlafaxine hydrochloride	bonilux xl 150mg capsules (sandoz ltd)	SNRI		1
40917	other antidepressants	venlafaxine hydrochloride	viepax 75mg tablets (dexcel-pharma ltd)	SNRI		1
69819	other antidepressants	venlafaxine hydrochloride	vencarm xl 37.5mg capsules (aspire pharma ltd)	SNRI		1
