medcodeid	term	certlevel	depression_vspec
3513908018	history of dysthymia	H/O	
345141000006111	history of mood disorder	H/O	
3531371000006112	major depression in complete remission	H/O	
3190221000006112	major depression in remission	H/O	
142521000006110	major depression single episode, in partial remission	H/O	
294843018	recurrent major depression in full remission	H/O	
3033261000006113	recurrent major depression in partial remission	H/O	
3606411000006115	recurrent major depression in remission	H/O	
12127561000006116	recurrent major depressive disorder co-occurrent with anxiety in full remission	H/O	
12127571000006111	recurrent major depressive disorder in partial remission co-occurrent with anxiety	H/O	
8237831000006115	recurrent major depressive episodes, in partial remission	H/O	
8237841000006113	recurrent major depressive episodes, in remission	H/O	
8232591000006117	recurrent major depressive episodes, severe, with psychosis, psychosis in remission	H/O	
182801000006114	recurrent major depressive episodes,partial/unspec remission	H/O	
2474716016	removed from depression register	H/O	
294831019	single episode of major depression in full remission	H/O	
8237851000006110	single major depressive episode, in remission	H/O	
8232571000006118	single major depressive episode, severe, with psychosis, psychosis in remission	H/O	
