medcode	readcode	readterm	arrhythmia	arrhythmia_type	arrhythmia_cat	cvd	angina	angina_type	angina_cat	cad	cad_cat	cad_type	mi	mi_cat	sca	sca_cat	revascularisation	revascularisation_cat	nonspecificcvd	nonspecificcvd_cat	confidence	hf	stroke	catstroke	vte	dvt	dvt_type	dvt_cat	pulmonaryembolism	pulmonaryembolism_cat	cardiomyopathy	cardiomyopathy_type	cardiomyopathy_cat	pericarditis	pericarditis_type	pericarditis_cat	vhd	vhd_type	vhd_cat	pvd_cat	cvdgrouped
52127	G211100	benign hypertensive heart disease with ccf				hf															Diagnosis	Heart failure																			1
105938	G211z00	benign hypertensive heart disease nos				cad				CAD	Diagnosis	Not specific																													1
31464	G21z.00	hypertensive heart disease nos				cad				CAD	Diagnosis	Not specific																													1
61166	G21z000	hypertensive heart disease nos without ccf				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
62718	G21z100	hypertensive heart disease nos with ccf				hf															Diagnosis	Heart failure																			1
16173	G21zz00	hypertensive heart disease nos				cad				CAD	Diagnosis	Not specific																													1
67232	G230.00	malignant hypertensive heart and renal disease				hf															Diagnosis	Heart failure																			1
21837	G232.00	hypertensive heart&renal dis wth (congestive) heart failure				hf															Diagnosis	Heart failure																			1
57987	G234.00	hyperten heart&renal dis+both(congestv)heart and renal fail				hf															Diagnosis	Heart failure																			1
240	G3...00	ischaemic heart disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
1792	G3...13	ihd - ischaemic heart disease				cad				CAD	Diagnosis	Not specific																													1
241	G30..00	acute myocardial infarction				cad				CAD	Diagnosis	MI																													1
13566	G30..11	attack - heart				mi							1	Myocardial infarction																											1
2491	G30..12	coronary thrombosis				mi							1	Possible MI																											1
30421	G30..13	cardiac rupture following myocardial infarction (mi)				cad				CAD	Diagnosis	MI																													1
1204	G30..14	heart attack				mi							1	Myocardial infarction																											1
1677	G30..15	mi - acute myocardial infarction				cad				CAD	Diagnosis	MI																													1
13571	G30..16	thrombosis - coronary				mi							1	Possible MI																											1
17689	G30..17	silent myocardial infarction				cad				CAD	Diagnosis	MI																													1
12139	G300.00	acute anterolateral infarction				mi							1	Myocardial infarction																											1
5387	G301.00	other specified anterior myocardial infarction				cad				CAD	Diagnosis	MI																													1
40429	G301000	acute anteroapical infarction				mi							1	Myocardial infarction																											1
17872	G301100	acute anteroseptal infarction				cad				CAD	Diagnosis	MI																													1
14897	G301z00	anterior myocardial infarction nos				cad				CAD	Diagnosis	MI																													1
8935	G302.00	acute inferolateral infarction				cad				CAD	Diagnosis	MI																													1
29643	G303.00	acute inferoposterior infarction				cad				CAD	Diagnosis	MI																													1
23892	G304.00	posterior myocardial infarction nos				mi							1	Myocardial infarction																											1
14898	G305.00	lateral myocardial infarction nos				mi							1	Myocardial infarction																											1
63467	G306.00	true posterior myocardial infarction				mi							1	Myocardial infarction																											1
3704	G307.00	acute subendocardial infarction				cad				CAD	Diagnosis	MI																													1
9507	G307000	acute non-q wave infarction				cad				CAD	Diagnosis	MI																													1
10562	G307100	acute non-st segment elevation myocardial infarction				mi							1	Myocardial infarction																											1
1678	G308.00	inferior myocardial infarction nos				cad				CAD	Diagnosis	MI																													1
30330	G309.00	acute q-wave infarct				mi							1	Myocardial infarction																											1
17133	G30A.00	mural thrombosis				mi							1	Possible MI																											1
32854	G30B.00	acute posterolateral myocardial infarction				cad				CAD	Diagnosis	MI																													1
29758	G30X.00	acute transmural myocardial infarction of unspecif site				cad				CAD	Diagnosis	MI																													1
12229	G30X000	acute st segment elevation myocardial infarction				cad				CAD	Diagnosis	MI																													1
34803	G30y.00	other acute myocardial infarction				cad				CAD	Diagnosis	MI																													1
28736	G30y000	acute atrial infarction				mi							1	Myocardial infarction																											1
62626	G30y100	acute papillary muscle infarction				cad				CAD	Diagnosis	MI																													1
41221	G30y200	acute septal infarction				cad				CAD	Diagnosis	MI																													1
46017	G30yz00	other acute myocardial infarction nos				cad				CAD	Diagnosis	MI																													1
14658	G30z.00	acute myocardial infarction nos				mi							1	Myocardial infarction																											1
27951	G31..00	other acute and subacute ischaemic heart disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
23579	G310.00	postmyocardial infarction syndrome				cad				CAD	History	MI																													1
15661	G310.11	dressler's syndrome				mi							1	History of																											1
36523	G311.00	preinfarction syndrome				angina	Angina	Unstable angina	Diagnosis																																1
4656	G311.11	crescendo angina				angina	Angina	Unstable angina	Diagnosis																																1
39655	G311.12	impending infarction				cad				CAD	Diagnosis	Angina																													1
1431	G311.13	unstable angina				cad				CAD	Diagnosis	Angina																													1
19655	G311.14	angina at rest				cad				CAD	Diagnosis	Angina																													1
7347	G311100	unstable angina				cad				CAD	Diagnosis	Angina																													1
17307	G311200	angina at rest				cad				CAD	Diagnosis	Angina																													1
34328	G311300	refractory angina				cad				CAD	Diagnosis	Angina																													1
18118	G311400	worsening angina				cad				CAD	Diagnosis	Angina																													1
54251	G311z00	preinfarction syndrome nos				angina	Angina	Unstable angina	Diagnosis																																1
9413	G31y.00	other acute and subacute ischaemic heart disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
9276	G31y000	acute coronary insufficiency				angina	Angina	Unstable angina	Diagnosis																																1
68357	G31y100	microinfarction of heart				mi							1	Possible MI																											1
27977	G31yz00	other acute and subacute ischaemic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
4017	G32..00	old myocardial infarction				mi							1	History of																											1
16408	G32..11	healed myocardial infarction				mi							1	History of																											1
17464	G32..12	personal history of myocardial infarction				cad				CAD	History	MI																													1
1430	G33..00	angina pectoris				angina	Angina	Stable angina	Diagnosis																																1
20095	G330.00	angina decubitus				angina	Angina	Stable angina	Diagnosis																																1
18125	G330000	nocturnal angina				angina	Angina	Stable angina	Diagnosis																																1
29902	G330z00	angina decubitus nos				cad				CAD	Diagnosis	Angina																													1
12986	G331.00	prinzmetal's angina				angina	Angina	Vasospastic codes	Diagnosis																																1
11048	G331.11	variant angina pectoris				cad				CAD	Diagnosis	Angina																													1
36854	G332.00	coronary artery spasm				angina	Angina	Vasospastic codes	Diagnosis																																1
25842	G33z.00	angina pectoris nos				cad				CAD	Diagnosis	Angina																													1
66388	G33z000	status anginosus				cad				CAD	Diagnosis	Angina																													1
54535	G33z100	stenocardia				angina	Angina	Stable angina	Diagnosis																																1
7696	G33z200	syncope anginosa				angina	Angina	Stable angina	Diagnosis																																1
1414	G33z300	angina on effort				cad				CAD	Diagnosis	Angina																													1
9555	G33z500	post infarct angina				cad				CAD	Diagnosis	Angina																													1
26863	G33z600	new onset angina				angina	Angina	Stable angina	Diagnosis																																1
12804	G33z700	stable angina				cad				CAD	Diagnosis	Angina																													1
28554	G33zz00	angina pectoris nos				cad				CAD	Diagnosis	Angina																													1
28138	G34..00	other chronic ischaemic heart disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
1344	G340.12	coronary artery disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
3999	G340000	single coronary vessel disease				cad				CAD	Diagnosis	Not specific																													1
5254	G340100	double coronary vessel disease				cad				CAD	Diagnosis	Not specific																													1
7320	G343.00	ischaemic cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Dilated cardiomyopathy	Diagnosis								1
34633	G34y.00	other specified chronic ischaemic heart disease				cad				CAD	Diagnosis	Not specific																													1
24540	G34y000	chronic coronary insufficiency				angina	Angina	Stable angina	Diagnosis																																1
35713	G34yz00	other specified chronic ischaemic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
15754	G34z.00	other chronic ischaemic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
18842	G35..00	subsequent myocardial infarction				cad				CAD	Diagnosis	MI																													1
45809	G350.00	subsequent myocardial infarction of anterior wall				mi							1	Myocardial infarction																											1
38609	G351.00	subsequent myocardial infarction of inferior wall				mi							1	Myocardial infarction																											1
72562	G353.00	subsequent myocardial infarction of other sites				cad				CAD	Diagnosis	MI																													1
46166	G35X.00	subsequent myocardial infarction of unspecified site				cad				CAD	Diagnosis	MI																													1
36423	G36..00	certain current complication follow acute myocardial infarct				mi							1	History of																											1
24126	G360.00	haemopericardium/current comp folow acut myocard infarct				mi							1	History of																											1
23708	G361.00	atrial septal defect/curr comp folow acut myocardal infarct				cad				CAD	History	MI																													1
37657	G362.00	ventric septal defect/curr comp fol acut myocardal infarctn				mi							1	History of																											1
59940	G364.00	ruptur chordae tendinae/curr comp fol acute myocard infarct				mi							1	History of																											1
69474	G365.00	rupture papillary muscle/curr comp fol acute myocard infarct				mi							1	History of																											1
29553	G366.00	thrombosis atrium,auric append&vent/curr comp foll acute mi				mi							1	History of																											1
8568	G37..00	cardiac syndrome x				angina	Angina	Cardiac syndrome X	Diagnosis																																1
32272	G38..00	postoperative myocardial infarction				mi							1	Myocardial infarction																											1
46112	G380.00	postoperative transmural myocardial infarction anterior wall				cad				CAD	Diagnosis	MI																													1
46276	G381.00	postoperative transmural myocardial infarction inferior wall				cad				CAD	Diagnosis	MI																													1
106812	G383.00	postoperative transmural myocardial infarction unspec site				mi							1	Myocardial infarction																											1
41835	G384.00	postoperative subendocardial myocardial infarction				mi							1	Myocardial infarction																											1
68748	G38z.00	postoperative myocardial infarction, unspecified				mi							1	Myocardial infarction																											1
105479	G39..00	coronary microvascular disease				cad				CAD	Diagnosis	Not specific																													1
22383	G3y..00	other specified ischaemic heart disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
1676	G3z..00	ischaemic heart disease nos				cad				CAD	Diagnosis	Not specific																													1
7180	G4...00	pulmonary circulation diseases				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
22412	G4...11	heart disease - pulmonary				cad				CAD	Diagnosis	Not specific																													1
63217	G40..00	acute pulmonary heart disease				cad				CAD	Diagnosis	Not specific																													1
8464	G400.00	acute cor pulmonale				hf															Diagnosis	Heart failure																			1
1266	G401.00	pulmonary embolism				pulmonaryembolism																							1	Diagnosis											1
9701	G401.12	pulmonary embolus				pulmonaryembolism																							1	Diagnosis											1
18121	G401000	post operative pulmonary embolus				vte																			1																1
96209	G401100	recurrent pulmonary embolism				pulmonaryembolism																							1	Diagnosis											1
65533	G40z.00	acute pulmonary heart disease nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
46294	G41..00	chronic pulmonary heart disease				cad				CAD	Diagnosis	Not specific																													1
54113	G41y.00	other chronic pulmonary heart disease				cad				CAD	Diagnosis	Not specific																													1
71046	G41yz00	other chronic pulmonary heart disease nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
15782	G41z.00	chronic pulmonary heart disease nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
5695	G41z.11	chronic cor pulmonale				hf															Diagnosis	Heart failure																			1
24549	G42..00	other pulmonary circulation disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
65954	G42y.00	other specified pulmonary circulation disease				cad				CAD	Diagnosis	Not specific																													1
41728	G42yz00	other specified pulmonary circulation disease nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
73599	G42z.00	other pulmonary circulation disease nos				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
61138	G4y..00	other specified pulmonary circulation disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
16084	G4z..00	pulmonary circulation disease nos				cad				CAD	Diagnosis	Not specific																													1
30171	G5...00	other forms of heart disease				cad				CAD	Diagnosis	Not specific																													1
3399	G50..00	acute pericarditis				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
45311	G50..11	pericardial effusion - acute				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
29551	G500.00	acute pericarditis in diseases ec				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
58769	G500000	acute pericarditis - coxsackie				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
61379	G500100	acute pericarditis - meningococcal				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
112041	G500200	acute pericarditis - syphilitic				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
57126	G500300	acute pericarditis - tuberculous				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
16996	G500311	tb - acute pericarditis				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
40956	G500400	acute pericarditis - uraemic				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
103850	G500500	acute pericarditis - gonococcal				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
15089	G500z00	acute pericarditis in diseases ec nos				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
35119	G501.00	post infarction pericarditis				pericarditis																												Pericarditis	1. Pericarditis NOS	Diagnosis					1
14646	G50z.00	other and unspecified acute pericarditis				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
27606	G50z000	acute pericarditis - unspecified				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
59102	G50z100	acute idiopathic pericarditis				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
8411	G50z111	viral pericarditis nos				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
36496	G50z200	acute pericarditis - pneumococcal				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
104081	G50z300	acute pericarditis - staphylococcal				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
59677	G50z400	acute pericarditis - streptococcal				pericarditis																												Pericarditis	2. Acute pericarditis - infectious	Diagnosis					1
64481	G50z500	acute purulent pericarditis unspecified				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
36755	G50zz00	acute pericarditis nos				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
50720	G531.00	adhesive pericarditis				pericarditis																												Pericarditis	1. Pericarditis NOS	Diagnosis					1
96101	G531z00	adhesive pericarditis nos				pericarditis																												Pericarditis	1. Pericarditis NOS	Diagnosis					1
20157	G532.00	constrictive pericarditis				pericarditis																												Pericarditis	1. Pericarditis NOS	Diagnosis					1
65807	G532z00	constrictive pericarditis nos				pericarditis																												Pericarditis	1. Pericarditis NOS	Diagnosis					1
2520	G534.00	pericardial effusion - acute				pericarditis																												Pericarditis	3. Acute pericarditis - NOS	Diagnosis					1
105192	G536.00	pericardial effusion				pericarditis																												Pericarditis	1. Pericarditis NOS	Diagnosis					1
107662	G536000	chronic pericardial effusion				pericarditis																												Pericarditis	4. Chronic pericarditis	Diagnosis					1
18877	G53yz11	chronic pericarditis				pericarditis																												Pericarditis	4. Chronic pericarditis	Diagnosis					1
40949	G540.12	mitral valve insufficiency				vhd																															1	2.Mitral valve disease	Diagnosis		1
9450	G540.14	mitral valve regurgitation				vhd																															1	2.Mitral valve disease	Diagnosis		1
561	G540.16	mitral regurgitation				vhd																															1	2.Mitral valve disease	Diagnosis		1
47887	G541011	aortic insufficiency, non-rheumatic				vhd																															1	1.Aortic valve disease	Diagnosis		1
10187	G541012	aortic regurgitation, non-rheumatic				vhd																															1	1.Aortic valve disease	Diagnosis		1
999	G541100	aortic stenosis, non-rheumatic				vhd																															1	1.Aortic valve disease	Diagnosis		1
58810	G541211	aortic insufficiency alone, cause unspecified				vhd																															1	1.Aortic valve disease	Diagnosis		1
1005	G541212	aortic regurgitation alone, cause unspecified				vhd																															1	1.Aortic valve disease	Diagnosis		1
10964	G541400	aortic valve stenosis with insufficiency				vhd																															1	1.Aortic valve disease	Diagnosis		1
9591	G541500	aortic stenosis				vhd																															1	1.Aortic valve disease	Diagnosis		1
97738	G542011	tricuspid insufficiency, non-rheumatic				vhd																															1	4.Pulmonary disease	Diagnosis		1
35372	G542012	tricuspid regurgitation, non-rheumatic				vhd																															1	4.Pulmonary disease	Diagnosis		1
52271	G542200	nonrheumatic tricuspid valve stenosis with insufficiency				vhd																															1	4.Pulmonary disease	Diagnosis		1
15640	G543011	pulmonary insufficiency, non-rheumatic				vhd																															1	3.Tricuspid valve disease	Diagnosis		1
15496	G543012	pulmonary regurgitation, non-rheumatic				vhd																															1	3.Tricuspid valve disease	Diagnosis		1
38299	G543213	pulmonary insufficiency, cause unspecified				vhd																															1	3.Tricuspid valve disease	Diagnosis		1
6077	G543215	pulmonary regurgitation, cause unspecified				vhd																															1	3.Tricuspid valve disease	Diagnosis		1
34932	G543400	pulmonary valve stenosis with insufficiency				vhd																															1	3.Tricuspid valve disease	Diagnosis		1
5743	G54z500	valvular heart disease				vhd																															1	5.VHD NOS	Diagnosis		1
3204	G55..00	cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
8010	G551.00	hypertrophic obstructive cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Hypertrophic cardiomyopathy	Diagnosis								1
68685	G552.00	obscure african cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
57306	G554.00	other primary cardiomyopathies				cardiomyopathy																									Cardiomyopathy	Dilated cardiomyopathy	Diagnosis								1
5141	G554000	congestive cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Dilated cardiomyopathy	Diagnosis								1
68766	G554011	congestive obstructive cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Dilated cardiomyopathy	Diagnosis								1
41488	G554100	constrictive cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
3499	G554300	hypertrophic non-obstructive cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Hypertrophic cardiomyopathy	Diagnosis								1
7535	G554400	primary dilated cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Dilated cardiomyopathy	Diagnosis								1
101015	G554500	takotsubo cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
104658	G554511	stress cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
40834	G554z00	other primary cardiomyopathy nos				cardiomyopathy																									Cardiomyopathy	Dilated cardiomyopathy	Diagnosis								1
4915	G555.00	alcoholic cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
114348	G556.00	cardiomyopathy in chagas's disease				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
100966	G557.00	nutritional and metabolic cardiomyopathies				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
64673	G557z00	nutritional and metabolic cardiomyopathy nos				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
55850	G558.00	cardiomyopathy in disease ec				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
27683	G558100	cardiomyopathy in myotonic dystrophy				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
64837	G558200	dystrophic cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
105651	G558400	amyloid cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
98020	G558z00	cardiomyopathy in diseases ec, nos				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
97780	G559.00	arrhythmogenic right ventricular cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Arrhythmogenic right ventricular dysplasia	Diagnosis								1
102955	G55A.00	tachycardiomyopathy				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
104529	G55A.11	tachycardia-induced cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
42043	G55y.00	secondary cardiomyopathy nos				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
9402	G55y.11	secondary dilated cardiomyopathy				cardiomyopathy																									Cardiomyopathy	Dilated cardiomyopathy	Diagnosis								1
58938	G55y000	cardiomyopathy due to drugs and other external agents				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
22993	G55z.00	cardiomyopathy nos				cardiomyopathy																									Cardiomyopathy	Cardiomyopathy NOS	Diagnosis								1
4044	G57..00	cardiac dysrhythmias	arrhythmia	Arrhythmia NOS	Diagnosis	arrhythmia																																			1
6503	G57..11	cardiac arrhythmias	arrhythmia	Arrhythmia NOS	Diagnosis	arrhythmia																																			1
4940	G570.00	paroxysmal supraventricular tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
1297	G570000	paroxysmal atrial tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
23647	G570100	paroxysmal atrioventricular tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
51845	G570200	paroxysmal junctional tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
29491	G570300	paroxysmal nodal tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
35124	G570z00	paroxysmal supraventricular tachycardia nos	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
3418	G571.00	paroxysmal ventricular tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
7794	G571.11	ventricular tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
25266	G572.00	paroxysmal tachycardia unspecified	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
60047	G572000	essential paroxysmal tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
1381	G572z00	paroxysmal tachycardia nos	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
2212	G573.00	atrial fibrillation and flutter	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
1664	G573000	atrial fibrillation	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
1757	G573100	atrial flutter	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
1268	G573200	paroxysmal atrial fibrillation	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
35127	G573300	non-rheumatic atrial fibrillation	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
96277	G573400	permanent atrial fibrillation	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
96076	G573500	persistent atrial fibrillation	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
107472	G573600	paroxysmal atrial flutter	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
23437	G573z00	atrial fibrillation and flutter nos	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
25583	G574011	cardiac arrest-ventricular fibrillation	arrhythmia	Atrial fibrillation & flutter	Diagnosis	arrhythmia																																			1
2099	G575.00	cardiac arrest				sca									1	Diagnosis																									1
25407	G575.11	cardio-respiratory arrest				cad				CAD	Diagnosis	SCA																													1
33899	G575000	cardiac arrest with successful resuscitation				cad				CAD	Diagnosis	SCA																													1
21195	G575100	sudden cardiac death, so described				cad				CAD	Diagnosis	SCA																													1
51140	G575200	electromechanical dissociation with successful resuscitation				cad				CAD	Diagnosis	SCA																													1
7630	G575300	electromechanical dissociation				cad				CAD	Diagnosis	SCA																													1
49882	G575z00	cardiac arrest, unspecified				cad				CAD	Diagnosis	SCA																													1
426	G577.00	sinus arrhythmia	arrhythmia	Arrhythmia NOS	Diagnosis	arrhythmia																																			1
7827	G57y.00	other cardiac dysrhythmias	arrhythmia	Arrhythmia NOS	Diagnosis	arrhythmia																																			1
3849	G57y000	persistent sinus bradycardia	arrhythmia	Bradycardia	Diagnosis	arrhythmia																																			1
18268	G57y100	severe sinus bradycardia	arrhythmia	Bradycardia	Diagnosis	arrhythmia																																			1
7005	G57y700	sinus tachycardia	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
1536	G57y900	supraventricular tachycardia nos	arrhythmia	Tachycardia	Diagnosis	arrhythmia																																			1
31690	G57yA00	re-entry ventricular arrhythmia	arrhythmia	Arrhythmia NOS	Diagnosis	arrhythmia																																			1
31133	G57yz00	other cardiac dysrhythmia nos	arrhythmia	Arrhythmia NOS	Diagnosis	arrhythmia																																			1
1535	G57z.00	cardiac dysrhythmia nos	arrhythmia	Arrhythmia NOS	Diagnosis	arrhythmia																																			1
2062	G58..00	heart failure				hf															Diagnosis	Heart failure																			1
1223	G58..11	cardiac failure				hf															Diagnosis	Heart failure																			1
398	G580.00	congestive heart failure				hf															Diagnosis	Heart failure																			1
2906	G580.11	congestive cardiac failure				hf															Diagnosis	Heart failure																			1
10079	G580.12	right heart failure				hf															Diagnosis	Heart failure																			1
10154	G580.13	right ventricular failure				hf															Diagnosis	Heart failure																			1
9524	G580.14	biventricular failure				hf															Diagnosis	Heart failure																			1
23707	G580000	acute congestive heart failure				hf															Diagnosis	Heart failure																			1
32671	G580100	chronic congestive heart failure				hf															Diagnosis	Heart failure																			1
27884	G580200	decompensated cardiac failure				hf															Diagnosis	Heart failure																			1
11424	G580300	compensated cardiac failure				hf															Diagnosis	Heart failure																			1
94870	G580400	congestive heart failure due to valvular disease				hf															Diagnosis	Heart failure																			1
884	G581.00	left ventricular failure				hf															Diagnosis	Heart failure																			1
43618	G581.12	pulmonary oedema - acute				hf															Possible	Heart failure																			1
5942	G581.13	impaired left ventricular function				hf															Diagnosis	Heart failure																			1
5255	G581000	acute left ventricular failure				hf															Diagnosis	Heart failure																			1
27964	G582.00	acute heart failure				hf															Diagnosis	Heart failure																			1
101138	G583.00	heart failure with normal ejection fraction				hf															Diagnosis	Heart failure																			1
101137	G583.11	hfnef - heart failure with normal ejection fraction				hf															Diagnosis	Heart failure																			1
106897	G583.12	heart failure with preserved ejection fraction				hf															Diagnosis	Heart failure																			1
104275	G584.00	right ventricular failure				hf															Diagnosis	Heart failure																			1
115338	G585.00	heart failure with reduced ejection fraction				hf															Diagnosis	Heart failure																			1
4024	G58z.00	heart failure nos				hf															Diagnosis	Heart failure																			1
17278	G58z.12	cardiac failure nos				hf															Diagnosis	Heart failure																			1
36193	G5y..00	other specified heart disease				cad				CAD	Diagnosis	Not specific																													1
96799	G5y4z00	post cardiac operation heart failure nos				hf															Diagnosis	Heart failure																			1
22672	G5yX.00	cardiovascular disease, unspecified				cad				CAD	Diagnosis	Not specific																													1
59687	G5yy.00	other ill-defined heart disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
8966	G5yy900	left ventricular systolic dysfunction				hf															Diagnosis	Heart failure																			1
12550	G5yyA00	left ventricular diastolic dysfunction				hf															Diagnosis	Heart failure																			1
104876	G5yyB00	right ventricular diastolic dysfunction				hf															Diagnosis	Heart failure																			1
107397	G5yyD00	left ventricular cardiac dysfunction				hf															Diagnosis	Heart failure																			1
108180	G5yyE00	right ventricular systolic dysfunction				hf															Diagnosis	Heart failure																			1
41179	G5yyz00	other ill-defined heart disease nos				cad				CAD	Diagnosis	Not specific																													1
1811	G5yz.00	other heart disease nos				cad				CAD	Diagnosis	Not specific																													1
1490	G5z..00	heart disease nos				cad				CAD	Diagnosis	Not specific																													1
2418	G6...00	cerebrovascular disease				nonspecificcvd													1.CVD - non-specific	Diagnosis																					1
56007	G601.00	subarachnoid haemorrhage from carotid siphon and bifurcation				stroke															Diagnosis		1	22.haemorrhagic stroke subarachnoid																	1
19412	G602.00	subarachnoid haemorrhage from middle cerebral artery				stroke															Diagnosis		1	22.haemorrhagic stroke subarachnoid																	1
17326	G60X.00	subarachnoid haemorrh from intracranial artery, unspecif				stroke															Diagnosis		1	22.haemorrhagic stroke subarachnoid																	1
5051	G61..00	intracerebral haemorrhage				stroke															Diagnosis		1	21.haemorrhagic stroke intracerebral																	1
